host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
c11x98an2m1.network.microsoft.com,172.199.36.9,57:24.5,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m1.network.microsoft.com,172.199.36.13,57:29.6,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m1.network.microsoft.com,172.199.36.15,57:31.6,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m1.network.microsoft.com,172.199.36.11,57:33.7,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.25,58:27.5,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.29,58:30.9,admin,51:16.2,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.31,58:33.8,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,172.199.36.27,58:36.5,admin,51:16.3,,IDLE,0,0,0,,,MS
c11x98an2m2.network.microsoft.com,2ff1:4898:3040:5::3a,58:39.9,admin,51:17.7,,IDLE,,,0,,,MS
c11x98an2m2.network.microsoft.com,2ff1:4898:3040:5::3e,58:41.8,admin,51:17.7,,IDLE,,,0,,,MS
d14x98anrub.network.microsoft.com,2ff1:110:3040:1::85,13:19.0,default,05:40.8,,,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrub.network.microsoft.com,2ff1:110:3040:1::8d,13:29.4,default,05:40.8,,,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anrub.network.microsoft.com,172.199.160.244,13:35.8,default,10:41.0,,ESTABLISHED,55,55,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anru1.network.microsoft.com,172.199.160.241,17:33.6,default,08:56.7,,ESTABLISHED,0,0,0,corp-tor-v4,d14x98an5ua,TS
d14x98anru2.network.microsoft.com,172.199.160.243,22:36.6,default,13:53.1,,ESTABLISHED,2,0,58,corp-tor-v4,d14x98an5ua,TS
d14x98anrua.network.microsoft.com,2ff1:110:3040:1::81,34:44.7,default,04:18.1,,IDLE,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrua.network.microsoft.com,172.199.160.242,34:56.1,default,13:53.1,,ESTABLISHED,55,55,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.1,35:02.3,default,20:58.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.2,35:03.9,default,21:21.5,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anrua.network.microsoft.com,172.199.160.240,35:25.5,default,08:56.7,,ESTABLISHED,55,55,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.3,35:28.0,default,22:14.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anrua.network.microsoft.com,199.33.62.0,35:33.4,default,20:17.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98anrua.network.microsoft.com,2ff1:110:3040:1::89,35:43.8,default,04:18.2,,IDLE,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.0,42:11.7,default,20:17.9,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.1,42:49.6,default,20:59.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.2,43:10.2,default,21:21.8,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anrub.network.microsoft.com,199.33.62.3,43:15.9,default,22:14.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anrud.network.microsoft.com,2ff1:110:3040:1::95,03:15.4,default,54:25.6,,,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrud.network.microsoft.com,2ff1:110:3040:1::9d,04:37.8,default,54:25.4,,,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anrud.network.microsoft.com,172.199.160.70,04:46.3,default,54:25.4,,,0,0,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anrud.network.microsoft.com,172.199.160.66,05:02.4,default,54:25.4,,,0,0,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anruc.network.microsoft.com,2ff1:110:3040:1::99,27:32.8,default,14:09.8,,IDLE,0,0,0,corp-ts-v6,d14x98anru2,NS_TOR
d14x98anruc.network.microsoft.com,2ff1:110:3040:1::91,27:38.8,default,14:09.6,,IDLE,0,0,0,corp-ts-v6,d14x98anru1,NS_TOR
d14x98anrub.network.microsoft.com,172.199.160.246,36:06.0,default,29:19.7,,ESTABLISHED,55,55,2,corp-ts-v4,d14x98anru2,NS_TOR
sx98anrug.network.microsoft.com,199.32.65.0,54:02.2,default,08:53.9,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anrug.network.microsoft.com,172.199.224.84,54:02.2,default,08:54.5,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anrug.network.microsoft.com,172.199.224.80,54:02.2,default,08:54.5,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anrug.network.microsoft.com,199.32.65.1,54:02.2,default,08:54.7,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anrug.network.microsoft.com,199.32.65.3,54:02.2,default,08:54.9,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anrug.network.microsoft.com,199.32.65.2,54:02.2,default,08:53.7,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anrug.network.microsoft.com,2ff1:f801:3040:1::b1,54:02.2,default,08:54.4,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anrug.network.microsoft.com,2ff1:f801:3040:1::b9,54:02.2,default,08:54.3,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anrub.network.microsoft.com,172.199.224.122,54:06.9,default,49:12.8,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anrub.network.microsoft.com,172.199.224.126,54:06.9,default,49:12.9,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anrub.network.microsoft.com,199.32.65.3,54:06.9,default,49:13.1,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anrub.network.microsoft.com,199.32.65.1,54:06.9,default,49:13.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anrub.network.microsoft.com,2ff1:f801:3040:1::8d,54:06.9,default,49:13.4,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anrub.network.microsoft.com,199.32.65.0,54:06.9,default,49:13.3,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anrub.network.microsoft.com,2ff1:f801:3040:1::85,54:06.9,default,49:13.3,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anrub.network.microsoft.com,199.32.65.2,54:06.9,default,49:13.3,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anruf.network.microsoft.com,172.199.224.74,54:19.6,default,49:20.4,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anruf.network.microsoft.com,199.32.65.3,54:19.6,default,49:20.8,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anruf.network.microsoft.com,199.32.65.2,54:19.6,default,49:21.1,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anruf.network.microsoft.com,2ff1:f801:3040:1::ad,54:19.6,default,49:20.1,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anruf.network.microsoft.com,172.199.224.78,54:19.6,default,49:20.9,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anruf.network.microsoft.com,199.32.65.1,54:19.6,default,49:21.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anruf.network.microsoft.com,199.32.65.0,54:19.6,default,49:21.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anruf.network.microsoft.com,2ff1:f801:3040:1::a5,54:19.6,default,49:20.7,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anrui.network.microsoft.com,172.199.224.88,54:40.7,default,16:53.2,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anrui.network.microsoft.com,172.199.224.92,54:40.7,default,16:53.3,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anrui.network.microsoft.com,199.32.65.0,54:40.7,default,16:53.0,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anrui.network.microsoft.com,2ff1:f801:3040:1::c9,54:40.7,default,16:52.9,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anrui.network.microsoft.com,199.32.65.3,54:40.7,default,16:52.9,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anrui.network.microsoft.com,199.32.65.1,54:40.7,default,16:53.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anrui.network.microsoft.com,2ff1:f801:3040:1::c1,54:40.7,default,16:52.8,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anrui.network.microsoft.com,199.32.65.2,54:40.7,default,16:53.2,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anruh.network.microsoft.com,172.199.224.86,54:41.1,default,39:56.5,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anruh.network.microsoft.com,199.32.65.3,54:41.1,default,39:56.5,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anruh.network.microsoft.com,199.32.65.2,54:41.1,default,39:56.3,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anruh.network.microsoft.com,2ff1:f801:3040:1::b5,54:41.1,default,39:56.5,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anruh.network.microsoft.com,2ff1:f801:3040:1::bd,54:41.1,default,39:56.4,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anruh.network.microsoft.com,172.199.224.82,54:41.1,default,39:56.6,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anruh.network.microsoft.com,199.32.65.0,54:41.1,default,39:56.6,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anruh.network.microsoft.com,199.32.65.1,54:41.1,default,39:56.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anruj.network.microsoft.com,199.32.65.3,54:45.3,default,59:47.7,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anruj.network.microsoft.com,172.199.224.90,54:45.3,default,59:47.6,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anruj.network.microsoft.com,199.32.65.2,54:45.3,default,59:47.5,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anruj.network.microsoft.com,2ff1:f801:3040:1::c5,54:45.3,default,59:47.6,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anruj.network.microsoft.com,2ff1:f801:3040:1::cd,54:45.3,default,59:47.5,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anruj.network.microsoft.com,172.199.224.94,54:45.3,default,59:47.7,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anruj.network.microsoft.com,199.32.65.1,54:45.3,default,59:47.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anruj.network.microsoft.com,199.32.65.0,54:45.3,default,59:47.7,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anruc.network.microsoft.com,2ff1:f801:3040:1::99,54:47.8,default,07:49.0,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anruc.network.microsoft.com,172.199.224.64,54:47.8,default,07:49.3,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anruc.network.microsoft.com,199.32.65.3,54:47.8,default,07:50.0,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anruc.network.microsoft.com,2ff1:f801:3040:1::91,54:47.8,default,07:49.8,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anruc.network.microsoft.com,199.32.65.2,54:47.8,default,07:49.8,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anruc.network.microsoft.com,199.32.65.0,54:47.8,default,07:49.6,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anruc.network.microsoft.com,199.32.65.1,54:47.8,default,07:49.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anruc.network.microsoft.com,172.199.224.68,54:47.9,default,07:49.7,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anrue.network.microsoft.com,199.32.65.3,54:50.4,default,05:22.1,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
sx98anrue.network.microsoft.com,199.32.65.0,54:50.4,default,05:22.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anrue.network.microsoft.com,172.199.224.76,54:50.4,default,05:21.8,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anrue.network.microsoft.com,2ff1:f801:3040:1::a9,54:50.4,default,05:22.3,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anrue.network.microsoft.com,172.199.224.72,54:50.4,default,05:22.3,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anrue.network.microsoft.com,199.32.65.1,54:50.4,default,05:22.3,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anrue.network.microsoft.com,2ff1:f801:3040:1::a1,54:50.4,default,05:22.4,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anrue.network.microsoft.com,199.32.65.2,54:50.4,default,05:21.4,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anrua.network.microsoft.com,2ff1:f801:3040:1::81,54:55.1,default,44:17.2,,IDLE,0,0,0,corp-ts-v6,sx98anru1,NS_TOR
sx98anrua.network.microsoft.com,199.32.65.2,54:55.1,default,44:18.1,,ACTIVE,0,0,0,evpz-bl,sx98anrb3,NS_TOR
sx98anrua.network.microsoft.com,199.32.65.0,54:55.1,default,44:17.9,,ACTIVE,0,0,0,evpz-bl,sx98anrb1,NS_TOR
sx98anrua.network.microsoft.com,199.32.65.1,54:55.1,default,44:17.3,,ACTIVE,0,0,0,evpz-bl,sx98anrb2,NS_TOR
sx98anrua.network.microsoft.com,172.199.224.124,54:55.1,default,44:17.6,,IDLE,0,0,0,corp-ts-v4,sx98anru2,NS_TOR
sx98anrua.network.microsoft.com,172.199.224.120,54:55.1,default,44:17.0,,IDLE,0,0,0,corp-ts-v4,sx98anru1,NS_TOR
sx98anrua.network.microsoft.com,2ff1:f801:3040:1::89,54:55.1,default,44:16.9,,IDLE,0,0,0,corp-ts-v6,sx98anru2,NS_TOR
sx98anrua.network.microsoft.com,199.32.65.3,54:55.1,default,44:17.5,,ACTIVE,0,0,0,evpz-bl,sx98anrb4,NS_TOR
d14x98anrud.network.microsoft.com,199.33.62.2,36:53.1,default,29:38.3,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anruc.network.microsoft.com,199.33.62.0,36:54.1,default,29:29.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
d14x98anruc.network.microsoft.com,172.199.160.248,36:57.1,default,29:28.0,,ESTABLISHED,0,0,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anrud.network.microsoft.com,172.199.160.254,36:58.8,default,29:37.3,,ESTABLISHED,56,56,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98anruc.network.microsoft.com,199.33.62.3,36:59.8,default,29:29.0,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anrud.network.microsoft.com,199.33.62.1,37:04.4,default,29:38.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anruc.network.microsoft.com,199.33.62.1,37:04.8,default,29:29.1,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98anrud.network.microsoft.com,172.199.160.252,37:08.4,default,29:37.4,,ESTABLISHED,0,0,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anruc.network.microsoft.com,199.33.62.2,37:09.8,default,29:29.1,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98anruc.network.microsoft.com,172.199.160.250,37:13.1,default,29:28.1,,ESTABLISHED,56,56,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98anrud.network.microsoft.com,199.33.62.3,37:17.1,default,29:38.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98anrud.network.microsoft.com,199.33.62.0,37:20.4,default,29:38.3,,ESTABLISHED,,,,evpz-bl,d14x98anrb1,NS_TOR
c11x98anruc.network.microsoft.com,199.36.199.1,33:17.6,default,02:31.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anruc.network.microsoft.com,199.36.199.0,33:17.6,default,02:32.1,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anruc.network.microsoft.com,199.36.199.2,33:17.6,default,02:32.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anruc.network.microsoft.com,199.36.199.3,33:17.6,default,02:32.1,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anruc.network.microsoft.com,172.199.32.64,33:17.6,default,02:31.2,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anruc.network.microsoft.com,2ff1:4898:3040:1::99,33:17.6,default,02:03.3,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anruc.network.microsoft.com,2ff1:4898:3040:1::91,33:17.6,default,02:32.7,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anruc.network.microsoft.com,172.199.32.68,33:17.6,default,02:01.8,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anrub.network.microsoft.com,2ff1:4898:3040:1::8d,33:23.4,default,58:57.7,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anrub.network.microsoft.com,172.199.32.122,33:23.4,default,58:28.1,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anrub.network.microsoft.com,199.36.199.1,33:23.4,default,58:57.2,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anrub.network.microsoft.com,172.199.32.126,33:23.4,default,58:56.2,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anrub.network.microsoft.com,199.36.199.2,33:23.5,default,58:56.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anrub.network.microsoft.com,2ff1:4898:3040:1::85,33:23.5,default,58:29.6,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anrub.network.microsoft.com,199.36.199.3,33:23.5,default,58:56.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anrub.network.microsoft.com,199.36.199.0,33:23.5,default,58:57.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anruf.network.microsoft.com,172.199.32.74,33:30.3,default,02:31.3,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anruf.network.microsoft.com,199.36.199.3,33:30.3,default,02:32.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anruf.network.microsoft.com,199.36.199.1,33:30.3,default,02:31.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anruf.network.microsoft.com,172.199.32.78,33:30.3,default,02:01.9,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anruf.network.microsoft.com,199.36.199.2,33:30.3,default,02:32.2,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anruf.network.microsoft.com,199.36.199.0,33:30.3,default,02:32.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anruf.network.microsoft.com,2ff1:4898:3040:1::ad,33:30.3,default,02:03.3,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anruf.network.microsoft.com,2ff1:4898:3040:1::a5,33:30.3,default,02:32.8,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anrud.network.microsoft.com,172.199.32.70,35:18.1,default,02:01.8,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anrud.network.microsoft.com,199.36.199.3,35:18.1,default,02:32.2,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anrud.network.microsoft.com,2ff1:4898:3040:1::9d,35:18.1,default,02:03.3,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anrud.network.microsoft.com,199.36.199.0,35:18.1,default,02:32.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anrud.network.microsoft.com,2ff1:4898:3040:1::95,35:18.1,default,02:32.8,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anrud.network.microsoft.com,172.199.32.66,35:18.1,default,02:31.3,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anrud.network.microsoft.com,199.36.199.2,35:18.1,default,02:32.2,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anrud.network.microsoft.com,199.36.199.1,35:18.1,default,02:31.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anrue.network.microsoft.com,199.36.199.1,35:22.7,default,02:32.1,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anrue.network.microsoft.com,172.199.32.76,35:22.7,default,02:01.9,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anrue.network.microsoft.com,199.36.199.3,35:22.7,default,02:32.1,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anrue.network.microsoft.com,199.36.199.2,35:22.7,default,02:32.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anrue.network.microsoft.com,199.36.199.0,35:22.8,default,02:32.1,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anrue.network.microsoft.com,172.199.32.72,35:22.8,default,02:31.3,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anrue.network.microsoft.com,2ff1:4898:3040:1::a1,35:22.8,default,02:32.8,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anrue.network.microsoft.com,2ff1:4898:3040:1::a9,35:22.8,default,02:03.4,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anrua.network.microsoft.com,2ff1:4898:3040:1::89,35:49.2,default,57:43.9,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anrua.network.microsoft.com,2ff1:4898:3040:1::81,35:49.2,default,57:50.2,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anrua.network.microsoft.com,199.36.199.2,35:49.2,default,57:49.4,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anrua.network.microsoft.com,199.36.199.3,35:49.2,default,57:49.3,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anrua.network.microsoft.com,172.199.32.124,35:49.2,default,57:42.4,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anrua.network.microsoft.com,199.36.199.1,35:49.2,default,57:49.6,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anrua.network.microsoft.com,172.199.32.120,35:49.2,default,57:48.7,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anrua.network.microsoft.com,199.36.199.0,35:49.2,default,57:49.4,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anruh.network.microsoft.com,199.36.199.1,52:14.7,default,05:08.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anruh.network.microsoft.com,172.199.32.82,52:14.7,default,04:54.5,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anruh.network.microsoft.com,172.199.32.86,52:14.7,default,05:08.1,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anruh.network.microsoft.com,199.36.199.0,52:14.7,default,05:09.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anruh.network.microsoft.com,199.36.199.2,52:14.7,default,05:08.8,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anruh.network.microsoft.com,2ff1:4898:3040:1::b5,52:14.7,default,04:56.0,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anruh.network.microsoft.com,2ff1:4898:3040:1::bd,52:14.7,default,05:09.6,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anruh.network.microsoft.com,199.36.199.3,52:14.7,default,05:08.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anrug.network.microsoft.com,199.36.199.2,53:13.1,default,05:09.0,,ACTIVE,0,0,0,evpz-bl,c11x98anrb3,NS_TOR
c11x98anrug.network.microsoft.com,172.199.32.84,53:13.1,default,05:08.2,,IDLE,0,0,0,corp-ts-v4,c11x98anru2,NS_TOR
c11x98anrug.network.microsoft.com,199.36.199.3,53:13.1,default,05:08.9,,ACTIVE,0,0,0,evpz-bl,c11x98anrb4,NS_TOR
c11x98anrug.network.microsoft.com,199.36.199.1,53:13.1,default,05:08.8,,ACTIVE,0,0,0,evpz-bl,c11x98anrb2,NS_TOR
c11x98anrug.network.microsoft.com,2ff1:4898:3040:1::b1,53:13.1,default,04:56.1,,IDLE,0,0,0,corp-ts-v6,c11x98anru1,NS_TOR
c11x98anrug.network.microsoft.com,199.36.199.0,53:13.1,default,05:08.7,,ACTIVE,0,0,0,evpz-bl,c11x98anrb1,NS_TOR
c11x98anrug.network.microsoft.com,172.199.32.80,53:13.1,default,04:54.6,,IDLE,0,0,0,corp-ts-v4,c11x98anru1,NS_TOR
c11x98anrug.network.microsoft.com,2ff1:4898:3040:1::b9,53:13.1,default,05:09.7,,IDLE,0,0,0,corp-ts-v6,c11x98anru2,NS_TOR
c11x98anraf.network.microsoft.com,2ff1:4898:3040:5::3d,03:33.7,admin,26:22.0,,ESTABLISHED,1,1,0,admin-ms-v6,c11x98an2m2,MgmtTor
c11x98anraf.network.microsoft.com,2ff1:4898:3040:5::1d,03:33.7,admin,26:20.7,,ACTIVE,0,0,0,admin-ms-v6,c11x98an2m1,MgmtTor
