host,neighboraddress,timestamp,vrf,lastchange,peer_as,sessionstate,prefixesreceived,prefixaccepted,prefixsent,peergroups,neighborinfo,DeviceType
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::ce,11:53.9,default,45:33.4,,IDLE,0,0,0,corp-tor5-v6,d14x98anruj,TS
d14x98anru2.network.microsoft.com,172.199.160.127,11:53.9,default,18:03.5,,ESTABLISHED,0,2,58,corp-tor1-v4,d14x98an51b,TS
d14x98anru2.network.microsoft.com,172.199.160.85,11:53.9,default,02:50.6,,ESTABLISHED,2,2,58,corp-tor4-v4,d14x98anrug,TS
d14x98anru2.network.microsoft.com,172.199.160.255,11:53.9,default,45:10.8,,ESTABLISHED,0,0,0,corp-tor-v4,d14x98an5ud,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::10a,11:53.9,default,56:54.1,,ESTABLISHED,0,0,0,corp-tor9-v6,d14x98anruq,TS
d14x98anru2.network.microsoft.com,172.199.160.125,11:53.9,default,33:40.7,,ESTABLISHED,2,0,0,corp-tor1-v4,d14x98an51a,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::6e,11:53.9,default,52:01.1,,ESTABLISHED,89,89,65,corp-tsl-v6,d14x98anrz2,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::8e,11:53.9,default,18:04.6,,ESTABLISHED,2,2,0,corp-tor1-v6,d14x98anrub,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::9e,11:53.9,default,21:35.3,,ESTABLISHED,0,2,40,corp-tor2-v6,d14x98anrud,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::da,11:53.9,default,51:04.3,,IDLE,0,0,0,corp-tor6-v6,d14x98anruk,TS
d14x98anru2.network.microsoft.com,172.199.160.101,11:53.9,default,51:02.8,,IDLE,0,0,0,corp-tor6-v4,d14x98anruk,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::35,11:53.9,default,08:13.6,,ESTABLISHED,0,0,139,corp-bl-v6,d14x98anrb2,TS
d14x98anru2.network.microsoft.com,172.199.160.117,11:53.9,default,48:24.3,,ESTABLISHED,0,0,0,corp-tor8-v4,d14x98anruo,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::3d,11:53.9,default,08:13.7,,ESTABLISHED,16,16,140,corp-bl-v6,d14x98anrb4,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::fe,11:53.9,default,08:10.6,,ESTABLISHED,2,0,0,corp-tor8-v6,d14x98anrup,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::105,11:53.9,default,05:30.0,,IDLE,0,0,0,corp-tor9-v6,d14x98anruq,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::11d,11:53.9,default,05:33.2,,ACTIVE,0,0,0,corp-tor12-v6,d14x98anrut,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::11a,11:53.9,default,15:57.8,,ESTABLISHED,1,1,0,corp-tor11-v6,d14x98anrus,TS
d14x98anru2.network.microsoft.com,172.199.160.103,11:53.9,default,51:31.6,,IDLE,0,0,0,corp-tor6-v4,d14x98anrul,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::12a,11:53.9,default,32:23.5,,ESTABLISHED,0,1,41,corp-tor15-v6,d14x98anruu,TS
d14x98anru2.network.microsoft.com,172.199.160.95,11:53.9,default,45:31.9,,IDLE,0,0,0,corp-tor5-v4,d14x98anruj,TS
d14x98anru2.network.microsoft.com,172.199.160.30,11:53.9,default,08:12.3,,ESTABLISHED,0,0,243,corp-bl-v4,d14x98anrb4,TS
d14x98an51b.network.microsoft.com,199.33.62.1,11:54.0,default,18:03.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb2,NS_TOR
d14x98an51b.network.microsoft.com,172.199.160.126,11:54.0,default,18:03.5,,ESTABLISHED,0,0,0,corp-ts-v4,d14x98anru2,NS_TOR
d14x98an51b.network.microsoft.com,172.199.160.122,11:54.0,default,18:02.3,,ESTABLISHED,0,0,0,corp-ts-v4,d14x98anru1,NS_TOR
d14x98an51b.network.microsoft.com,199.33.62.2,11:54.0,default,18:03.3,,ESTABLISHED,,,,evpz-bl,d14x98anrb3,NS_TOR
d14x98an51b.network.microsoft.com,199.33.62.3,11:54.0,default,18:03.4,,ESTABLISHED,,,,evpz-bl,d14x98anrb4,NS_TOR
d14x98an51b.network.microsoft.com,2ff1:110:3000:30::14,11:54.0,vpz,09:46.5,,ESTABLISHED,0,1,0,,,NS_TOR
d14x98an51b.network.microsoft.com,2ff1:110:3000:30::10,11:54.0,vpz,58:35.6,,ESTABLISHED,1,1,0,,,NS_TOR
d14x98an51b.network.microsoft.com,2ff1:110:3000:30::25,11:54.0,vpz,27:49.3,,ESTABLISHED,0,0,0,,,NS_TOR
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::ea,11:54.0,default,00:50.1,,IDLE,0,0,0,corp-tor7-v6,d14x98anrum,TS
d14x98an51b.network.microsoft.com,2ff1:110:3000:30::12,11:54.0,vpz,51:00.5,,ESTABLISHED,0,0,0,,,NS_TOR
d14x98anru2.network.microsoft.com,172.199.160.111,11:54.0,default,00:53.4,,IDLE,0,0,0,corp-tor7-v4,d14x98anrun,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::39,11:54.0,default,08:13.6,,ESTABLISHED,16,0,141,corp-bl-v6,d14x98anrb3,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::8a,11:54.0,default,33:41.7,,ESTABLISHED,0,0,40,corp-tor1-v6,d14x98anrua,TS
d14x98anru2.network.microsoft.com,172.199.160.169,11:54.0,default,27:54.2,,ESTABLISHED,0,0,0,corp-tor10-v4,d14x98anrur,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::fa,11:54.0,default,48:25.2,,ESTABLISHED,0,0,0,corp-tor8-v6,d14x98anruo,TS
d14x98anru2.network.microsoft.com,2ff1:110:3040:1::ca,11:54.0,default,44:46.0,,IDLE,0,0,0,corp-tor5-v6,d14x98anrui,TS
