timestamp,host,adminstatus,interface,subinterface,neighbor_description,intstatus,SFPinfo,lastchangeint,Neighbor_System_name,Neigh_port_id
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet31/1,25,link;c11x98ca902;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca902.network.microsoft.com,FortyGigE0/1/0/4/0
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet31/1,8,link;c11x98ca902;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca902.network.microsoft.com,FortyGigE0/1/0/4/0
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,UP,Ethernet29/1,8,link;c11x98ca901;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca901.network.microsoft.com,FortyGigE0/1/0/4/0.25
